,ID,fq,comp,A,B,C,TMIN,TMAX
0,999,H20,WATER,8.07131,1730.63,233.426,1,100.0
1,998,H20,WATER,8.14019,1810.94,244.485,99,374.0
2,1,CCL4,CARBON-TETRACHLORIDE,6.8941,1219.58,227.17,-20,101.0
3,2,CCL3F,TRICHLOROFLUOROMETHANE,6.8843,1043.01,236.86,-33,27.0
4,3,CCL2F2,DICHLORODIFLUOROMETHANE,6.68619,782.072,235.377,-119,-30.0
5,4,CCLF3,CHLOROTRIFLUOROMETHANE,6.35109,522.061,231.677,-150,-81.0
6,5,CF4,CARBON-TETRAFLUORIDE,6.9723,540.5,260.1,-180,-125.0
7,6,CO,CARBON-MONOXIDE,6.2402,230.27,260.01,-210,-165.0
8,7,CO2,CARBON-DIOXIDE,9.8106,1347.79,273.0,-119,-69.0
9,8,COS,CARBONYL-SULFIDE,6.90723,804.48,250.0,-111,-49.0
10,9,CS2,CARBON-DISULFIDE,6.9419,1168.62,241.54,-45,69.0
11,10,CHCL3,CHLOROFORM,6.9371,1171.2,227.0,-13,97.0
12,11,CHCL2F,DICHLOROFLUOROMETHANE,6.97575,996.267,234.172,-91,9.0
13,12,CHCLF2,CHLORODIFLUOROMETHANE,6.7577,740.39,231.86,-48,-33.0
14,13,CHF3,TRIFLUOROMETHANE,7.0886,705.33,249.78,-128,-82.0
15,14,CHI3,TRIIODOMETHANE,6.59598,1567.8,204.0,137,254.0
16,16,CH2CL2,DICHLOROMETHANE,7.0803,1138.91,231.46,-44,59.0
17,17,CH2CLF,CHLOROFLUOROMETHANE,6.20452,740.39,231.86,-55,12.0
18,18,CH2F2,DIFLUOROMETHANE,7.1389,821.7,244.7,-82,-32.0
19,19,CH2I2,DIIODOMETHANE,6.94246,1567.8,204.0,83,232.0
20,20,CH2O,FORMALDEHYDE,7.1561,957.24,243.01,-88,-2.0
21,21,CH2O2,FORMIC-ACID,7.3779,1563.28,247.07,-2,136.0
